ERR_Rate,ERR_Type,Changed_Param,Original_PPL,Modified_PPL,Total_Errors,Corrected_Errors
1e-05,0,28839,6.196449071123441,7.958466996861969,28839,0
1e-05,1,28552,6.196449071123441,7.023186841626327,28552,0
1e-05,2,28653,6.196449071123441,6.085223769048059,28653,0
1e-05,3,28885,6.196449071123441,6.333680229625915,28885,0
1e-05,4,28911,6.196449071123441,6.206532044494585,28911,0
1e-05,5,28477,6.196449071123441,6.512625643902333,28477,0
1e-05,6,28407,6.196449071123441,6.1006445654725745,28407,0
1e-05,7,28613,6.196449071123441,6.255331279830876,28613,0
1e-05,8,29009,6.196449071123441,6.405029614787269,29010,0
1e-05,9,8663,6.196449071123441,6.484739465611795,3913,5202
1e-05,10,25067,6.196449071123441,6.106021336873997,25067,0
1e-05,11,21374,6.196449071123441,6.156329887698225,21374,0
1e-05,12,17951,6.196449071123441,5.943996823405617,17952,0
1e-05,13,14412,6.196449071123441,6.204693724250643,14413,0
1e-05,14,10790,6.196449071123441,6.21864452480237,10790,0
1e-05,15,7248,6.196449071123441,6.251418358479114,7248,0
1e-05,16,3586,6.196449071123441,6.226320439633614,3586,0
1e-05,17,6328,6.196449071123441,6.239992557055984,3999,2767
1e-05,18,3653,6.196449071123441,6.32491205989679,3653,113
1e-05,19,133893171,6.196449071123441,20.430099074314402,3694,3694
1e-06,0,2781,6.196449071123441,6.643119310124217,2781,0
1e-06,1,2919,6.196449071123441,6.179496091926215,2919,0
1e-06,2,2736,6.196449071123441,6.009465415377862,2736,0
1e-06,3,2814,6.196449071123441,6.46957161115359,2814,0
1e-06,4,2851,6.196449071123441,6.081711597163172,2851,0
1e-06,5,2751,6.196449071123441,6.111971860162223,2751,0
1e-06,6,2715,6.196449071123441,6.024559927871008,2715,0
1e-06,7,2814,6.196449071123441,6.439282377616006,2814,0
1e-06,8,2962,6.196449071123441,5.968771362611146,2962,0
1e-06,9,5575,6.196449071123441,6.240443355577012,434,5202
1e-06,10,2676,6.196449071123441,6.339030390462446,2676,0
1e-06,11,2099,6.196449071123441,6.225121845109484,2099,0
1e-06,12,1902,6.196449071123441,6.494651236512891,1902,0
1e-06,13,1515,6.196449071123441,6.174770058936683,1515,0
1e-06,14,1069,6.196449071123441,6.117839206790263,1069,0
1e-06,15,737,6.196449071123441,6.143487719680802,737,0
1e-06,16,391,6.196449071123441,6.066173779081079,391,0
1e-06,17,3129,6.196449071123441,5.976244287076228,421,2767
1e-06,18,379,6.196449071123441,5.968446912384597,379,12
1e-06,19,133893171,6.196449071123441,20.430099074314402,407,407
1e-07,0,296,6.196449071123441,6.505927503945369,296,0
